A	B	C	X	Y	Z	MT0	MT1	MT2	MT3	MT4	MT5	MT6	TIME	J0	J1	J2	J3	J4	J5	J6	
-2.766	0.150	3.041	547.945	-290.722	-20.560	0.060	61.042	7.348	-16.853	0.186	-0.233	-0.016	0	-0.351	0.979	-0.370	-1.378	0.629	0.915	-1.361	
-2.766	0.150	3.041	547.966	-290.697	-20.558	0.017	61.052	7.307	-16.880	0.174	-0.229	-0.014	9	-0.351	0.979	-0.370	-1.378	0.629	0.915	-1.361	
-2.766	0.150	3.041	547.994	-290.668	-20.554	0.001	61.064	7.300	-16.913	0.166	-0.228	-0.015	18	-0.351	0.979	-0.370	-1.378	0.629	0.915	-1.361	
-2.766	0.150	3.041	548.013	-290.650	-20.551	-0.008	61.097	7.309	-16.949	0.160	-0.226	-0.015	25	-0.351	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.766	0.150	3.041	548.027	-290.637	-20.548	-0.054	61.178	7.307	-16.975	0.171	-0.229	-0.017	32	-0.351	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.766	0.150	3.041	548.047	-290.620	-20.545	-0.059	61.213	7.298	-17.000	0.175	-0.233	-0.017	42	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.766	0.150	3.041	548.056	-290.611	-20.544	-0.047	61.257	7.319	-17.009	0.177	-0.233	-0.016	47	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.766	0.150	3.041	548.062	-290.605	-20.544	-0.017	61.298	7.319	-17.019	0.173	-0.234	-0.015	55	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.766	0.150	3.041	548.067	-290.598	-20.545	-0.026	61.310	7.326	-17.005	0.181	-0.228	-0.013	60	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.766	0.150	3.041	548.070	-290.592	-20.547	-0.040	61.313	7.345	-17.011	0.182	-0.222	-0.016	68	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.766	0.150	3.041	548.074	-290.585	-20.549	-0.048	61.287	7.363	-16.999	0.181	-0.218	-0.014	75	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.075	-290.580	-20.552	-0.044	61.278	7.370	-16.998	0.188	-0.211	-0.016	82	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.077	-290.576	-20.552	-0.020	61.300	7.378	-17.018	0.188	-0.209	-0.017	89	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.078	-290.571	-20.553	0.000	61.271	7.407	-17.013	0.193	-0.204	-0.017	95	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.079	-290.568	-20.553	0.001	61.210	7.415	-17.000	0.190	-0.199	-0.018	102	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.080	-290.565	-20.554	0.011	61.111	7.394	-16.964	0.188	-0.197	-0.021	108	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.081	-290.562	-20.555	0.015	61.007	7.375	-16.948	0.188	-0.199	-0.021	116	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.083	-290.559	-20.554	0.000	60.935	7.381	-16.948	0.196	-0.200	-0.022	123	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.085	-290.556	-20.554	0.000	60.804	7.378	-16.914	0.193	-0.197	-0.024	130	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.089	-290.552	-20.553	0.012	60.724	7.377	-16.886	0.201	-0.198	-0.023	140	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.092	-290.549	-20.552	0.005	60.675	7.384	-16.879	0.210	-0.194	-0.024	147	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.095	-290.547	-20.550	0.031	60.685	7.393	-16.892	0.216	-0.195	-0.021	154	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.103	-290.544	-20.545	0.032	60.720	7.398	-16.896	0.224	-0.198	-0.021	161	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.112	-290.540	-20.540	0.031	60.786	7.400	-16.912	0.212	-0.200	-0.019	167	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.119	-290.536	-20.535	0.017	60.882	7.393	-16.930	0.209	-0.203	-0.013	174	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.141	-290.528	-20.523	-0.013	60.920	7.380	-16.933	0.205	-0.205	-0.014	186	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.154	-290.524	-20.515	-0.026	60.935	7.378	-16.920	0.205	-0.205	-0.012	191	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.165	-290.521	-20.509	-0.034	60.939	7.370	-16.924	0.217	-0.205	-0.013	198	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.174	-290.520	-20.503	-0.026	60.946	7.370	-16.913	0.213	-0.204	-0.011	202	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.190	-290.519	-20.492	-0.023	60.943	7.370	-16.918	0.210	-0.207	-0.010	209	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.202	-290.519	-20.484	-0.019	60.951	7.382	-16.912	0.213	-0.210	-0.010	213	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.222	-290.519	-20.469	-0.004	60.964	7.397	-16.931	0.210	-0.206	-0.011	217	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.237	-290.520	-20.457	0.011	60.974	7.407	-16.945	0.214	-0.205	-0.008	222	-0.350	0.979	-0.369	-1.378	0.629	0.915	-1.361	
-2.765	0.150	3.041	548.252	-290.520	-20.445	0.038	60.960	7.422	-16.950	0.213	-0.204	-0.008	226	-0.350	0.979	-0.369	-1.377	0.629	0.915	-1.361	
