A	B	C	X	Y	Z	MT0	MT1	MT2	MT3	MT4	MT5	MT6	TIME	J0	J1	J2	J3	J4	J5	J6	
-2.843	0.094	3.077	582.487	-335.674	34.531	0.000	64.638	7.544	-19.824	0.344	-0.113	-0.009	1	-0.367	0.993	-0.392	-1.164	0.506	1.070	-1.147	
-2.843	0.094	3.077	582.487	-335.674	34.531	0.000	64.638	7.532	-19.827	0.340	-0.113	-0.008	13	-0.367	0.993	-0.392	-1.164	0.506	1.070	-1.147	
-2.843	0.094	3.077	582.487	-335.674	34.531	0.005	64.634	7.535	-19.827	0.342	-0.115	-0.010	17	-0.367	0.993	-0.392	-1.164	0.506	1.070	-1.147	
-2.843	0.094	3.077	582.487	-335.674	34.531	0.004	64.633	7.539	-19.826	0.335	-0.113	-0.008	25	-0.367	0.993	-0.392	-1.164	0.506	1.070	-1.147	
-2.843	0.094	3.077	582.487	-335.674	34.531	0.009	64.629	7.540	-19.823	0.340	-0.112	-0.009	30	-0.367	0.993	-0.392	-1.164	0.506	1.070	-1.147	
-2.843	0.094	3.077	582.487	-335.674	34.531	0.015	64.629	7.540	-19.824	0.338	-0.114	-0.008	36	-0.367	0.993	-0.392	-1.164	0.506	1.070	-1.147	
-2.843	0.094	3.077	582.487	-335.674	34.531	0.011	64.641	7.535	-19.818	0.343	-0.112	-0.010	41	-0.367	0.993	-0.392	-1.164	0.506	1.070	-1.147	
-2.843	0.094	3.077	582.487	-335.674	34.531	-0.007	64.646	7.538	-19.834	0.342	-0.112	-0.008	49	-0.367	0.993	-0.392	-1.164	0.506	1.070	-1.147	
-2.843	0.094	3.077	582.487	-335.674	34.531	-0.013	64.646	7.525	-19.827	0.339	-0.112	-0.009	61	-0.367	0.993	-0.392	-1.164	0.506	1.070	-1.147	
-2.843	0.094	3.077	582.487	-335.674	34.531	-0.013	64.644	7.526	-19.828	0.338	-0.111	-0.010	69	-0.367	0.993	-0.392	-1.164	0.506	1.070	-1.147	
-2.843	0.094	3.077	582.487	-335.674	34.531	-0.007	64.652	7.535	-19.831	0.350	-0.110	-0.010	74	-0.367	0.993	-0.392	-1.164	0.506	1.070	-1.147	
-2.843	0.094	3.077	582.487	-335.674	34.530	0.001	64.650	7.545	-19.835	0.339	-0.108	-0.009	80	-0.367	0.993	-0.392	-1.164	0.506	1.070	-1.147	
-2.843	0.094	3.077	582.487	-335.674	34.530	0.001	64.641	7.539	-19.817	0.347	-0.114	-0.011	85	-0.367	0.993	-0.392	-1.164	0.506	1.070	-1.147	
-2.843	0.094	3.077	582.487	-335.674	34.530	-0.005	64.640	7.530	-19.815	0.340	-0.113	-0.009	93	-0.367	0.993	-0.392	-1.164	0.506	1.070	-1.147	
-2.843	0.094	3.077	582.487	-335.674	34.530	-0.005	64.652	7.533	-19.827	0.340	-0.112	-0.008	98	-0.367	0.993	-0.392	-1.164	0.506	1.070	-1.147	
-2.843	0.094	3.077	582.487	-335.674	34.530	0.003	64.660	7.540	-19.834	0.337	-0.107	-0.008	104	-0.367	0.993	-0.392	-1.164	0.506	1.070	-1.147	
